城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食,最高景点评分,公共汽车数量,出租汽车数量,平均气温
呼伦贝尔,41.0,2242875,234545.0,9.5627,189.0,105.0,2.0,14.0,5.0,625,3232,-2.53196663368618
呼和浩特,29.0,3446100,17143.0,201.0208,50.0,142.0,3.0,13.0,5.0,3178,6568,5.88751572070043
和田,26.810606060606062,2441231,247272.0,9.8727,20.0,72.0,0.0,14.0,5.0,1800,3082,11.4828620260136
咸宁,32.0,2658316,9738.0,272.9838,26.0,52.0,5.0,3.0,5.0,352,656,15.3698162079044
咸阳,40.0,4983340,10324.0,482.7,23.0,125.0,0.0,9.0,5.0,748,1719,12.7137040782097
哈密,26.810606060606062,673383,137263.0,4.9058,66.0,143.0,4.0,13.0,5.0,302,1088,10.0826306810602
哈尔滨,38.0,10009854,53069.0,188.6196,88.0,134.0,2.0,13.0,5.0,7402,17980,1.38409368008271
唐山,24.0,7717983,13994.0,551.5209,28.0,122.0,4.0,17.0,5.0,2244,4985,9.7876946618174
商丘,19.0,7816831,10717.0,729.3861,7.0,79.0,1.0,2.0,5.0,1987,2875,14.3449692463694
商洛,33.0,2041231,19562.0,104.3,30.0,72.0,0.0,6.0,5.0,103,319,12.0732987881601
喀什,26.810606060606062,4496377,100598.0,44.6965,40.0,192.0,0.0,17.0,5.0,1800,3082,12.0188871165825
嘉兴,34.0,5400868,4074.0,1325.6917,20.0,217.0,2.0,22.0,5.0,1251,1073,15.1865209397745
嘉峪关,50.0,312663,1224.1,255.4228,10.0,79.0,1.0,3.0,5.0,153,807,7.83210175958683
四平,27.0,1814733,10240.0,177.22,15.0,67.0,0.0,8.0,5.0,596,4724,4.30827867362798
固原,17.0,1142142,10525.0,108.5171,23.0,66.0,0.0,1.0,5.0,194,2602,8.77497323117556
图木舒克,26.810606060606062,263245,11708.0,22.4842,1.0,3.0,0.0,0.0,5.0,1800,3082,11.5947642249452
坝上,26.810606060606062,326353,8731.0,37.38,0.0,0.0,0.0,0.0,4.5,1800,3082,12.919883177310817
塔城,26.810606060606062,1108747,94531.0,11.7289,37.0,24.0,2.0,7.0,5.0,1800,3082,6.38102024242283
大兴安岭,26.810606060606062,331276,84205.0,3.9342,61.0,31.0,0.0,13.0,5.0,1800,3082,-3.57053380340147
大同,23.0,180266,2337.0,77.1356,57.0,138.0,3.0,13.0,5.0,1096,4955,6.12436219949221
大庆,34.0,2781562,21184.0,131.3049,31.0,30.0,1.0,8.0,5.0,1932,4680,2.03269137029271
大理,26.810606060606062,3337559,28300.0,117.9349,23.0,209.0,2.0,28.0,5.0,1800,3082,15.0975430500287
