城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食
七台河,20.0,689611,5455.6,126.4042,13.0,11.0,0.0,0.0
万宁,,545992,1940.8,281.3232,56.0,53.0,0.0,20.0
三亚,20.0,1031396,1904.5,541.5574,51.0,66.0,4.0,14.0
三明,34.0,2486450,22977.0,108.2147,42.0,72.0,3.0,2.0
三沙,,2333,10.0,233.3,2.0,9.0,0.0,0.0
三门峡,32.0,2034872,9922.0,205.0869,21.0,71.0,2.0,2.0
上海,33.0,24870895,6340.5,3922.5448,135.0,326.0,6.0,70.0
上饶,32.0,6491088,22731.0,285.561,62.0,134.0,3.0,20.0
东方,,444458,2271.6,195.6586,9.0,25.0,0.0,1.0
东莞,,10466625,2465.0,4246.0953,41.0,61.0,0.0,7.0
